Category	Text	Label (Informal)	Label (Formal)	Subcategory	Morris subcategory	Notes	Morris	Jacob	Morris v2	Morris v3
colloquial	הוא הסביר לי את המצב וכך הבנתי את הטעות.	5=vekˈaχ	5=veχˈaχ	consonant						
colloquial	הוא נזכר בסיפור הישן בכל פעם שהוא עובר כאן.	4=bekˈol	4=beχˈol	consonant			x formal should be bexol	fixed		
colloquial	אנחנו הולכים היום לקניון כדי לעשות קצת קניות.	3=kˈenjon	3=kanjˈon	vowel,stress	lexical					
colloquial	הוא קנה בשוק משמש טרי בשביל להכין קינוח.	3=mˈiʃmiʃ	3=miʃmˈeʃ	vowel,stress	lexical					
colloquial	הם החליטו להתאבק בבוץ כחלק מהתחרות המוזרה הזו.	2=lehitʔavˈek	2=lehitʔabˈek	consonant						
colloquial	הוא מנסה לפסטר את החלב הטרי שקנה מהחווה.	2=lepastˈeʁ	2=lefastˈeʁ	consonant			x formal is lefa	fixed		
colloquial	הסגנון המוזיקלי החדש שלו הוא מאוד קצבי ומרקיד.	6=kitsvˈi	6=kitsbˈi	consonant						
colloquial	כל פריט בחנות הזאת נמכר בהנחה גדולה.	1=paʁˈit	1=pʁˈit	vowel	lexical					
colloquial	הוא טבל את המכחול בצבע כחול והתחיל לצייר.	3=mikχˈol	3=miχχˈol	consonant			maybe formal mixex'ol		שכחו is Saxexu not Saxxu, so should formal it be mixexol?	
colloquial	הוא ביקש ממני לכתוב את המכתב הזה עבורו.	3=liχtˈov	3=liktˈov	consonant			x formal/informal should be same		formal is wrong	
colloquial	היא רצתה לתפור לעצמה שמלה חדשה לאירוע.	2=litfˈoʁ	2=litpˈoʁ	consonant						
colloquial	הדייג נצמד לדופן הסירה בזמן הסערה.	4=bezmˈan	4=bizmˈan							
colloquial	אנחנו מכירים כבר יותר משנתיים ונשארנו חברים טובים.	4=meʃnatˈajim	4=miʃnatˈajim				x informal is also mi- (or me-?)		questionable	
colloquial	הוא ניסה לעקוב אחרי כל הצעדים שלה.	3=ʔaχʁˈej	3=ʔaχaʁˈej							
colloquial	הוא שכח את המפתחות וכמובן שלא היה יכול להיכנס.	4=vekamuvˈan	4=veχamuvˈan							
colloquial	הוא מעדיף לעבוד בממשק משתמש פשוט ונוח.	3=bememʃˈak	3=bemimʃˈak				? formal/informal should be same		?	
colloquial	זה היה פשוט בלתי אפשרי לסיים את הפרויקט בזמן.	3=bˈilti	3=biltˈi		lexical		? is stress really different in informal?	yes in this context		
colloquial	האור שהגיע ממסך המחשב הציק לו בעיניים.	2=memasˈaχ	2=mimasˈaχ				x informal is also mi- (or me-?)		questionable	
colloquial	הוא הצטרף לקבוצת הרכיבה החדשה בעיר.	2=lekvutsˈat	2=likvutsˈat							
colloquial	משמעתם עליו בכל פודקאסט באנגלית.	2=bekˈol	2=beχˈol							
colloquial	דרך קרדיט קרמה וכמובן טורבוטקס שאין אזרח שלא מכיר.	3=vekamuvˈan	3=veχamuvˈan							
colloquial	החברה מעסיקה כחמש מאות מהם בישראל.	5=bejisʁaʔˈel	5=bisʁaʔˈel		prefix		x should be bis			
colloquial	במייל שנשלח לכלל עובדי החברה.	2=leklˈal	2=liχlˈal							
colloquial	מכתב שנשלח והגיע לידי רויטרס.	2=vehegˈia	2=vehigˈia							
colloquial	כדי לאפשר לה להיות יעילה יותר ולהתמקד במשימה.	6=velehitmakˈed	6=ulhitmakˈed							
colloquial	החברה מנסה להתמקד כעת בפיתוח טכנולוגיות.	4=bepituˈaχ	4=befituˈaχ		bgdkft					
colloquial	ובדומה למקובל בתעשייה הם יהיו זכאים.	0=vebedomˈe	0=uvdomˈe				x should be uvd (and vebd?)	fixed;informal should have e		
colloquial	החבילה כוללת תשלום ובנוסף יהיו זכאים.	3=vebenosˈaf	3=uvnosˈaf				x should be uvn (and vebn?)	fixed;informal should have e		
colloquial	על כל שנה שבה עבדו בחברה ברציפות.	6=beretsifˈut	6=birtsifˈut				? berts or berets?	fixed; bere make more sense	(*)	
colloquial	החברה תצטרך לפעול ולזמן את העובדים.	3=velezamˈen	3=ulzamˈen							
colloquial	על פי הערכות מספר המפוטרים יעמוד על כמה עשרות.	4=hamefutaʁˈim	4=hamfutaʁˈim				? informal could be same?		(*) I think shva can be elided in informal as well?	
colloquial	גוגל אמנם עסוקה בימים האחרונים בכנס הפיתוח השנתי שלה.	5=bekˈenes	5=bexˈenes				x formal is bexe	fixed		
colloquial	שלושה דיווחים שונים, שנחשפו ביממה האחרונה, מראים מדוע.	4=bayemamˈa	4=baymamˈa				? informal could be same?	usually without e it's informal e.g. in tv / news reports	(*)	
colloquial	מראים מדוע המפתחת של קלוד היא השם החם ביותר.	2=hamefatˈaχat	2=hamfatˈaχat				? informal could be same?		(*)	
colloquial	טום בראון, אחד ממייסדי אנתרופיק והאחראי על תחום משאבי המחשוב.	5=vehaʔaχʁaʔˈi	5=vahaʔaχʁˈaj				x should formal be axa? are formal/inf pronunciations really different?		?	
colloquial	קצב ההכנסות של ענקיות טכנולוגיה כמו גוגל ומטא רגע לפני ההנפקה.	7=vemˈeta	7=umˈeta							
colloquial	השקעות ענק מתוכננות במשאבי מחשוב כדי להמשיך ולפתח את המודלים.	7=velefatˈeaχ	7=ulfatˈeaχ							
colloquial	אני לא יודע כמה כסף נשאר לנו בקופה.	3=kˈama	3=kamˈa				? could it be same?	could be the same but kam'a is formal	wiktionary gives both: https://he.wiktionary.org/wiki/כמה	
colloquial	התושבים נשארו בבתים מחשש לחדירה.	4=leχadiʁˈa	4=laχadiʁˈa		prefix		? is formal also lexa?	only if it would be laxadira in paste form 'about the hadira that was'	actually I think le- becomes la- before gutterals in formal, like ka'asara	
colloquial	הוא קנה אופנוע חדש ונוסע איתו לעבודה.	2=ʔofnˈoa	2=ʔofanˈoa		lexical		x missing glottal stop	fixed		
colloquial	העובדים החליטו לשבות בעקבות הרעת התנאים שלהם.	2=liʃvˈot	2=liʃbˈot		bgdkft		x formal/inf switched?	fixed		
colloquial	הוא נשבע אמונים למדינת ישראל בטקס הממלכתי.	3=lemedinˈat	3=limdinˈat							
colloquial	הוא סטודנט מצטיין ובוגר של הפקולטה למדעים.	3=vebogˈeʁ	3=uvogˈeʁ							
colloquial	הוא העניק לה ספר במתנה כמחווה של ידידות.	5=kemeχvˈa	5=kemeχevˈa		hataf vowel					
colloquial	הוא הבטיח לעזור ובאמת עשה זאת על הצד הטוב ביותר.	3=vebeʔemˈet	3=uveʔemˈet							formal: uvʔe
colloquial	הוא סיים את לימודיו וכעת הוא מחפש עבודה בתחום.	4=vekaˈet	4=veχaˈet							
colloquial	הם סוחטים תפוזים טריים בכל בוקר בשביל המיץ.	1=soχtˈim	1=soχatˈim							
colloquial	השמועה הופצה במהירות ברשתות החברתיות.	3=baʁeʃatˈot	3=baʁʃatˈot				? informal could be same?	usually without e it would be in news reports, not in spoken language	(*)	
colloquial	הוא השחקן הפופולרי ביותר בקבוצה שלנו.	2=hapopolˈaʁi	2=hapopulˈaʁi		lexical		? are they really different?	yes, not very noticiable but different		
colloquial	הוא ישב בחדר וכתב מכתב ארוך לחבר שלו.	3=vekatˈav	3=veχatˈav							
colloquial	הוא אמר את זה ברמיזה קלה ולא באופן ישיר.	4=beʁemizˈa	4=biʁmizˈa				? can informal be berm-?	yes but it usually should be with e	(*)	
colloquial	הוא הגיב בבוטות לדברים שנאמרו בישיבה.	2=bebotˈut	2=bevotˈut							
colloquial	הוא פרסם את התלונה בפוסט פומבי ברשת החברתית.	4=bepˈost	4=befˈost							
colloquial	מועד הפגישה נקבע כבר בשבוע שעבר.	2=nikvˈa	2=nikbˈa							
colloquial	אנחנו מקווים להצליח יותר בעתיד הקרוב.	4=baʔatˈid	4=beʔatˈid							
colloquial	הוא נהג בזהירות בכבישי הארץ הרטובים.	3=bekviʃˈej	3=biχviʃˈej							
colloquial	הוא הציג את הטענה שלו בצורה ברורה מאוד.	3=hateʔanˈa	3=hataʔanˈa							
colloquial	הוא נהנה מיתרון ברור על פני המתחרים שלו.	2=mejitaʁˈon	2=mijitʁˈon							
colloquial	כולם יקשיבו ויחמיאו לך על העבודה.	2=vejaxmˈiʔu	2=vajaxmˈiʔu				x  inf is also ve-		formal is wrong (va- is biblical)	
colloquial	הוא הדגיש את המילים החשובות בכחול.	5=bekaχˈol	5=beχaχˈol							
colloquial	זה מעניק לו יתרון משמעותי במרוץ.	3=jitarˈon	3=jitrˈon							
colloquial	הטיסה ארכה כיממה שלמה.	2=kejemamˈa	2=kimamˈa				? should be kim-, also can inf be kejm?	informal can be kejm but usually keje	(*)	
colloquial	הגיעו כעשרה אנשים לאירוע.	1=keʔasaʁˈa	1=kaʔasaʁˈa				? is it ka-?	yes very common in tv news		
colloquial	הוא קיבל את ההחלטה בזמן אמת.	4=bezmˈan	4=bizmˈan							
colloquial	הוא התרכז בנושא זה וביתר שאת.	4=vebejˈeteʁ	4=uvjˈeteʁ				x uvj, also inf is vebej (or vebj?)	fixed; vebej more common	(*)	
colloquial	מטוסי הקרב המריאו לבסיס החדש.	0=matosˈej	0=metosˈej		grammatical		x inf is same			
colloquial	הם ישבו שעות והחליפו חוויות מהטיול.	3=veheχlˈifu	3=veheχelˈifu							
colloquial	הם רצו לשדה הקרב ובחזרה.	2=lesdˈe	2=lisdˈe							
colloquial	הוא שירת נאמנה ובגדוד שלו זוכרים אותו.	3=vebagdˈud	3=uvagdˈud				x formal should be uva not uvi	fixed		
colloquial	הספר מכיל שמונה מאות עמודים.	2=ʃmonˈa	2=ʃmonˈe				? is inf really mileil?	fixed; not milel but ends with a	is formal wrong? masculine is shmona not shmone, maybe use feminine noun?	
colloquial	הספר צפוי להימכר באלפי עותקים.	2=lehimakˈeʁ	2=lehimaχˈeʁ				? is inf pronunciation right?		?	
colloquial	היא קנתה תותים מתוקים בשוק.	2=tˈutim	2=tutˈim				repeated		we already had tutim	
colloquial	הוא ניקה את הרצפה עם מגב.	5=maɡˈav	5=maɡˈev							
colloquial	כל המכשירים נמצאו תקינים לחלוטין.	3=tkinˈim	3=takinˈim		lexical					
colloquial	הוא הקדיש תשומת לב לפרטים הקטנים.	2=tsumˈat	2=tsˈumet				? which is inf?		?	
colloquial	היא שינתה את התוכניות וביטלה את הנסיעה.	4=vebitlˈa	4=uvitˈla							
colloquial	האירוע נערך באופן רשמי ופומבי.	4=vepumbˈi	4=ufumbˈi							
colloquial	הטעם העדין של המרק מצא חן בעיניו.	1=haʔadˈin	1=heʔadˈin							
colloquial	הם ניסו לחצות את הכביש בבטחה.	2=laχtsˈot	2=laχatsˈot							
colloquial	הוא החליט לצאת לטיול ארוך בארץ.	1=heχlˈit	1=heχelˈit							
colloquial	הם פגשו את האנשים שהספיקו להגיע בזמן.	4=ʃehespˈiku	4=ʃehispˈiku							
colloquial	הם שינו את התוכניות וביטלו את האירוע.	4=vebitlˈu	4=uvitlˈu							
colloquial	הכרתי את החבר הכי טוב שלי בצבא.	0=hekˈarti	0=hikˈarti							
colloquial	הוא המשיך לספר ובעודי מקשיב הבנתי הכל.	3=vebeʔodˈi	3=uvʔodˈi							
colloquial	הוא הקשיב לי וכשניערתי את השמיכה הוא עזר לי.	3=vekʃeniʔˈaʁti	3=uχʃeniʔˈaʁti							
colloquial	הוא צעד בראש הטור בגאווה רבה.	4=beɡeʔavˈa	4=beɡaʔavˈa							
colloquial	הוא נכנס לחדר והתחלתי לדבר איתו.	3=vehetχˈalti	3=vehitχˈalti							
colloquial	הוא לקח סיבוב חד ימינה ברחוב.	2=sivˈuv	2=sibˈuv							
colloquial	הסתכלנו אחד על השני ושנינו הרגשנו שמשהו מוזר קורה.	4=veʃnˈenu 5=heʁɡˈaʃnu	4=uʃnˈejnu 5=hiʁɡˈaʃnu				? ej?	fixed formal shnenu	why does 4 have ej in formal and e in informal? inconsistent	
colloquial	עשרות מפגינים הגיעו לכיכר העיר.	0=ʔasʁˈot	0=ʔasaʁˈot				?  should formal also be asrot? (because of smichut)	(dicta nikud)	it might be עֶשְׂרוֹת מַפְגִּינִים (esrot) in formal, need to check	
colloquial	האיכר לקח את הפרות לחליבה של הבוקר.	4=leχalivˈa	4=laχalivˈa				? both should be laxaliva		still questionable	
colloquial	מארגני הכנס הודו לכל המשתתפים שהגיעו.	0=meʔaʁɡenˈej	0=meʔaʁɡnˈej				x both should be meargenej		still questionable	
colloquial	הם תכננו לנסוע לעזה כבר בשבוע שעבר.	3=leʔˈaza	3=leʔazˈa							
colloquial	הילדים שיחקו בכדורי טניס ישנים בחצר.	2=bekaduʁˈej	2=beχaduʁˈej							
colloquial	הוא הצמיד את המכשיר לקרקע כדי למדוד.	4=lakˈaʁka	4=lakaʁkˈa				? is it really milra in formal?	very common in news		
colloquial	הוא דואג לביטחון המדינה בכל לבו.	2=lebitxˈon	2=levitχˈon				x informal should be lebitxon (without a)	fixed		
colloquial	הוא סימן את השמות בכרטיסייה הקטנה.	4=bekaʁtisijˈa	4=beχaʁtisijˈa							
colloquial	ההחלטה המפתיעה יצרה כאוס מוחלט בחדר.	3=kˈeos	3=kˈaos				? are tehy really different?	formal sounds formal. depends if dicta is right		
colloquial	הוא החליט להחליף את המכונית הישנה שלו.	2=lehaχlˈif	2=lehaχalˈif							
colloquial	הוא תמיד מביט אל העתיד בתקווה רבה.	4=haʔatˈid	4=heʔatˈid							
colloquial	הם קיבלו אותנו בחיוך ובאהבת חינם.	4=vebeʔahavˈat	4=uveʔahavˈat							format: uvʔa
colloquial	הוא קנה ספר למיכל ולנועה הוא הביא פרח.	4=velenˈoa	4=ulenˈoa							
colloquial	החיילים נלחמו בחזית ובעורף ניסו לשמור על שגרה.	3=vebaʔˈoʁef	3=uvaʔˈoʁef							
colloquial	הרופאים עבדו מסביב לשעון ביממה האחרונה.	4=bajemamˈa	4=bajmamˈa				? can inf also be bajmama?	yes but less common	(*)	
colloquial	הרופאים גילו את הבעיה רק בסריקות המאוחרות.	5=besʁikˈot	5=bisʁikˈot							
colloquial	ניסיון העבר מלמד אותנו שצריך להיזהר.	0=nisajˈon	0=nisjˈon							
colloquial	הכנסנו את כל הארגזים לתוך המחסן החדש.	0=heχnˈasnu	0=hiχnˈasnu							
colloquial	הוא דיבר בכנס על המחקר החדש שלו.	2=bekˈenes	2=beχˈenes							
colloquial	לטענת הרופאים, המצב שלו צפוי להשתפר בקרוב.	0=leteʔanˈat	0=letaʔanˈat							
colloquial	לפעמים הוא מצליח ובמקרים מסוימים הוא נכשל.	3=vebemikʁˈim	3=uvemikʁˈim							formal: uvm
colloquial	הם בדקו מה תהיה התוצאה בפועל של המהלך.	5=bafˈoal	5=befˈoal							maybe formal should be bap'oal
colloquial	הגענו לתל אביב ומשם נסענו ברכבת.	3=vemiʃˈam	3=umiʃˈam							
colloquial	הלכנו בבוקר לבית הכנסת להתפלל.	2=lebˈet	2=levˈet							vejt/bejt?
colloquial	החייל נמצא בפיקוד המרכז.	2=bepikˈud	2=befikˈud							
colloquial	החיילים יצאו בבוקר ללחימה בשטח.	3=laleχimˈa	3=lilχimˈa							informal: lelexima? (not la-)
colloquial	כל יישובי האזור השתתפו בטקס.	1=jeʃuvˈej	1=jiʃuvˈej							?
colloquial	אני מסכים איתך לגמרי בעניין הזה.	3=legˈamʁej	3=legamʁˈej							not sure about formal
colloquial	הממשלה הציגה תוכנית כלכלית רחבת היקף במשק.	4=ʁeχavˈat	4=ʁaχavˈat							
colloquial	הם חיו באושר וברווחה שנים רבות.	3=vebaʁvaχˈa	3=uvaʁvaχˈa							uve? vebe?
colloquial	הפרויקט כולל תכנון והקמת תשתיות חדשות.	3=vehakamˈat	3=vahakamˈat							
colloquial	הוא מדבר חזק ופוגע בכולם.	3=vepogˈea	3=ufogˈea							
colloquial	הסלט מכיל מלפפונים וירקות נוספים.	3=vejeʁakˈot	3=viʁakˈot							
colloquial	הדבר הביא לדחייה וביטול של המפגש.	3=vebitˈul	3=uvitˈul							
colloquial	התוכנית כוללת קיצוץ בהטבות המס לעצמאים.	3=behatavˈot	3=bahatavˈot							
colloquial	הם דנים בחשיבות ובצורך של הפרויקט.	3=vebatsˈoʁeχ	3=uvatsˈoʁeχ							
colloquial	בשנים האחרונות חלו שינויים רבים במדינה.	1=haʔaχʁonˈot	1=haʔaχaʁonˈot							
colloquial	הבנק פועל במקביל לצעדי הממשלה.	3=letseʔadˈej	3=letsaʔadˈej							
colloquial	הפרויקט קיבל מימון ותמיכה מהממשלה.	3=vetmiχˈa	3=utmiχˈa							
colloquial	הצלחנו לחסוך כסף בחודש האחרון.	1=laχsˈoχ	1=laχasˈoχ							
										
colloquial	החוק נכנס לתוקף בשנת אלפיים ועשרים.	3=beʃnˈat	3=biʃnˈat							
colloquial	פערי מחירים קיימים בין החנויות השונות.	0=peʔaʁˈej	0=paʔaʁˈej							
colloquial	צריך לדאוג למיכלי הגז בבניין.	2=lemeχalˈej	2=limχalˈej							wrong IPA
colloquial	הפרויקט נועד להסרת חסמים בשוק.	2=lehasaʁˈat	2=lahasaʁˈat							
colloquial	הם אחראים על תכנון וביצוע הפרויקט.	4=vebitsˈua	4=uvitsˈua							
colloquial	לדבריו של המנכ"ל החברה תצליח.	0=ledvaʁˈav	0=lidvaʁˈav							
colloquial	זה פתרון קל ופשוט לכל בעיה.	3=vepaʃˈut	3=ufaʃˈut							
colloquial	המטרה היא לעזור ולאפשר פיתוח מהיר.	3=veleʔafʃˈeʁ	3=uleʔafʃˈeʁ							formal is ulʔ
colloquial	אנחנו זקוקים לפתרון אנרגיה ירוקה.	2=lepitʁˈon	2=lefitʁˈon							
colloquial	פערי השכר בין העובדים הצטמצמו השנה.	0=peʔaʁˈej	0=paʔaʁˈej							repeats from row 172
colloquial	המצב בארץ ובאירופה שונה לחלוטין.	2=vebeʔeʁˈopa	2=uveʔeʁˈopa							formal: uvʔe
colloquial	הנזק שנגרם משריפת עץ היה כבד.	2=mesʁefˈat	2=misʁefˈat							
colloquial	הוא בא להסביר ולהציג את הרעיון.	3=velehatsˈiɡ	3=ulehatsˈiɡ							formal: ulha
colloquial	הדבר קורה ולעתים זה מפתיע.	2=veleʔitˈim	2=uleʔitˈim							formal: ulʔi
colloquial	הוא וחבריו הלכו יחד לים.	1=veχaveʁˈav	1=vaχaveʁˈav							
colloquial	זה מעשה של חרפה ובושה לכולם.	4=vebuʃˈa	4=uvuʃˈa							
colloquial	יש קשר ישיר למחיר המוצר.	3=lemeχˈiʁ	3=limχˈiʁ							
colloquial	הדבר גרם לנהירה של קונים.	2=lenehiʁˈa	2=linhiʁˈa							
colloquial	הם נוסעים ברכבים של החברה.	2=beʁeχavˈim	2=biʁχavˈim							could also be ba- for both
colloquial	המוצרים טובים ומחיריהם נמוכים בשוק.	2=vemeχiʁehˈem	2=umeχiʁehˈem							formal: umx
colloquial	הוא הגיע וכמובן הביא מתנה.	2=vekamuvˈan	2=veχamuvˈan							
colloquial	יש פה חניה למכוניות בלבד.	3=lemeχonjˈot	3=limχonijˈot							
colloquial	ראינו אותו הרבה לאחרונה בשכונה.	3=laʔaχʁonˈa	3=laʔaχaʁonˈa							
colloquial	השתמשו בטכנולוגיה הזו במאות אלפי אתרים.	3=bemeʔˈot	3=bimʔˈot							
colloquial	הוא ביקר בסין ובהודו בשנה שעברה.	3=vebehˈodu	3=uvehˈodu							formal: uvh
colloquial	הספר מספר על קרבות ומלחמות בעבר.	4=vemilχamˈot	4=umilχamˈot							
colloquial	חל גידול משמעותי במכירות החברה החודש.	3=bemeχiʁˈot	3=bimχiʁˈot							
