id|index|graphemes|formal_wav|informal_wav|formal_ipa|informal_ipa|formal_normalized|informal_normalized
049|2|היא רצתה לתפור לעצמה שמלה חדשה לאירוע.|049_formal.wav|049_informal.wav|litpˈoʁ|litfˈoʁ|litpˈoʁ.|litfˈoʁ.
050|4|הדייג נצמד לדופן הסירה בזמן הסערה.|050_formal.wav|050_informal.wav|bizmˈan|bezmˈan|bizmˈan.|bezmˈan.
051|4|אנחנו מכירים כבר יותר משנתיים ונשארנו חברים טובים.|051_formal.wav|051_informal.wav|miʃnatˈajim|meʃnatˈajim|miʃnatˈajim.|meʃnatˈajim.
052|3|הוא ניסה לעקוב אחרי כל הצעדים שלה.|052_formal.wav|052_informal.wav|ʔaχaʁˈej|ʔaχʁˈej|ʔaχaʁˈej.|ʔaχʁˈej.
053|4|הוא שכח את המפתחות וכמובן שלא היה יכול להיכנס.|053_formal.wav|053_informal.wav|veχamuvˈan|vekamuvˈan|veχamuvˈan.|vekamuvˈan.
054|3|הוא מעדיף לעבוד בממשק משתמש פשוט ונוח.|054_formal.wav|054_informal.wav|bemimʃˈak|bememʃˈak|bemimʃˈak.|bememʃˈak.
055|3|זה היה פשוט בלתי אפשרי לסיים את הפרויקט בזמן.|055_formal.wav|055_informal.wav|biltˈi|bˈilti|biltˈi.|bˈilti.
056|2|האור שהגיע ממסך המחשב הציק לו בעיניים.|056_formal.wav|056_informal.wav|mimasˈaχ|memasˈaχ|mimasˈaχ.|memasˈaχ.
057|2|הוא הצטרף לקבוצת הרכיבה החדשה בעיר.|057_formal.wav|057_informal.wav|likvutsˈat|lekvutsˈat|likvutsˈat.|lekvutsˈat.
058|2|משמעתם עליו בכל פודקאסט באנגלית.|058_formal.wav|058_informal.wav|beχˈol|bekˈol|beχˈol.|bekˈol.
059|3|דרך קרדיט קרמה וכמובן טורבוטקס שאין אזרח שלא מכיר.|059_formal.wav|059_informal.wav|veχamuvˈan|vekamuvˈan|veχamuvˈan.|vekamuvˈan.
060|5|החברה מעסיקה כחמש מאות מהם בישראל.|060_formal.wav|060_informal.wav|bisʁaʔˈel|bejisʁaʔˈel|bisʁaʔˈel.|bejisʁaʔˈel.
061|2|במייל שנשלח לכלל עובדי החברה.|061_formal.wav|061_informal.wav|liχlˈal|leklˈal|liχlˈal.|leklˈal.
062|2|מכתב שנשלח והגיע לידי רויטרס.|062_formal.wav|062_informal.wav|vehigˈia|vehegˈia|vehiɡˈia.|veheɡˈia.
063|6|כדי לאפשר לה להיות יעילה יותר ולהתמקד במשימה.|063_formal.wav|063_informal.wav|ulhitmakˈed|velehitmakˈed|ʔulhitmakˈed.|velehitmakˈed.
064|4|החברה מנסה להתמקד כעת בפיתוח טכנולוגיות.|064_formal.wav|064_informal.wav|befituˈaχ|bepituˈaχ|befituˈaχ.|bepituˈaχ.
065|0|ובדומה למקובל בתעשייה הם יהיו זכאים.|065_formal.wav|065_informal.wav|uvdomˈe|vebedomˈe|ʔuvdomˈe.|vebedomˈe.
066|3|החבילה כוללת תשלום ובנוסף יהיו זכאים.|066_formal.wav|066_informal.wav|uvnosˈaf|vebenosˈaf|ʔuvnosˈaf.|vebenosˈaf.
067|6|על כל שנה שבה עבדו בחברה ברציפות.|067_formal.wav|067_informal.wav|birtsifˈut|beretsifˈut|biʁtsifˈut.|beʁetsifˈut.
068|3|החברה תצטרך לפעול ולזמן את העובדים.|068_formal.wav|068_informal.wav|ulzamˈen|velezamˈen|ʔulzamˈen.|velezamˈen.
069|4|על פי הערכות מספר המפוטרים יעמוד על כמה עשרות.|069_formal.wav|069_informal.wav|hamfutaʁˈim|hamefutaʁˈim|hamfutaʁˈim.|hamefutaʁˈim.
070|5|גוגל אמנם עסוקה בימים האחרונים בכנס הפיתוח השנתי שלה.|070_formal.wav|070_informal.wav|bexˈenes|bekˈenes|beχˈenes.|bekˈenes.
071|4|שלושה דיווחים שונים, שנחשפו ביממה האחרונה, מראים מדוע.|071_formal.wav|071_informal.wav|baymamˈa|bayemamˈa|baymamˈa.|bayemamˈa.
072|2|מראים מדוע המפתחת של קלוד היא השם החם ביותר.|072_formal.wav|072_informal.wav|hamfatˈaχat|hamefatˈaχat|hamfatˈaχat.|hamefatˈaχat.
073|5|טום בראון, אחד ממייסדי אנתרופיק והאחראי על תחום משאבי המחשוב.|073_formal.wav|073_informal.wav|vahaʔaχʁˈaj|vehaʔaχʁaʔˈi|vahaʔaχʁˈaj.|vehaʔaχʁaʔˈi.
074|7|קצב ההכנסות של ענקיות טכנולוגיה כמו גוגל ומטא רגע לפני ההנפקה.|074_formal.wav|074_informal.wav|umˈeta|vemˈeta|ʔumˈeta.|vemˈeta.
075|7|השקעות ענק מתוכננות במשאבי מחשוב כדי להמשיך ולפתח את המודלים.|075_formal.wav|075_informal.wav|ulfatˈeaχ|velefatˈeaχ|ʔulfatˈeaχ.|velefatˈeaχ.
076|3|אני לא יודע כמה כסף נשאר לנו בקופה.|076_formal.wav|076_informal.wav|kamˈa|kˈama|kamˈa.|kˈama.
077|4|התושבים נשארו בבתים מחשש לחדירה.|077_formal.wav|077_informal.wav|laχadiʁˈa|leχadiʁˈa|laχadiʁˈa.|leχadiʁˈa.
078|2|הוא קנה אופנוע חדש ונוסע איתו לעבודה.|078_formal.wav|078_informal.wav|ʔofanˈoa|ʔofnˈoa|ʔofanˈoa.|ʔofnˈoa.
079|2|העובדים החליטו לשבות בעקבות הרעת התנאים שלהם.|079_formal.wav|079_informal.wav|liʃbˈot|liʃvˈot|liʃbˈot.|liʃvˈot.
080|3|הוא נשבע אמונים למדינת ישראל בטקס הממלכתי.|080_formal.wav|080_informal.wav|limdinˈat|lemedinˈat|limdinˈat.|lemedinˈat.
081|3|הוא סטודנט מצטיין ובוגר של הפקולטה למדעים.|081_formal.wav|081_informal.wav|uvogˈeʁ|vebogˈeʁ|ʔuvoɡˈeʁ.|veboɡˈeʁ.
082|5|הוא העניק לה ספר במתנה כמחווה של ידידות.|082_formal.wav|082_informal.wav|kemeχevˈa|kemeχvˈa|kemeχevˈa.|kemeχvˈa.
083|3|הוא הבטיח לעזור ובאמת עשה זאת על הצד הטוב ביותר.|083_formal.wav|083_informal.wav|uveʔemˈet|vebeʔemˈet|ʔuveʔemˈet.|vebeʔemˈet.
084|4|הוא סיים את לימודיו וכעת הוא מחפש עבודה בתחום.|084_formal.wav|084_informal.wav|veχaˈet|vekaˈet|veχaˈet.|vekaˈet.
085|1|הם סוחטים תפוזים טריים בכל בוקר בשביל המיץ.|085_formal.wav|085_informal.wav|soχatˈim|soχtˈim|soχatˈim.|soχtˈim.
086|3|השמועה הופצה במהירות ברשתות החברתיות.|086_formal.wav|086_informal.wav|baʁʃatˈot|baʁeʃatˈot|baʁʃatˈot.|baʁeʃatˈot.
087|2|הוא השחקן הפופולרי ביותר בקבוצה שלנו.|087_formal.wav|087_informal.wav|hapopulˈaʁi|hapopolˈaʁi|hapopulˈaʁi.|hapopolˈaʁi.
088|3|הוא ישב בחדר וכתב מכתב ארוך לחבר שלו.|088_formal.wav|088_informal.wav|veχatˈav|vekatˈav|veχatˈav.|vekatˈav.
089|4|הוא אמר את זה ברמיזה קלה ולא באופן ישיר.|089_formal.wav|089_informal.wav|biʁmizˈa|beʁemizˈa|biʁmizˈa.|beʁemizˈa.
090|2|הוא הגיב בבוטות לדברים שנאמרו בישיבה.|090_formal.wav|090_informal.wav|bevotˈut|bebotˈut|bevotˈut.|bebotˈut.
091|4|הוא פרסם את התלונה בפוסט פומבי ברשת החברתית.|091_formal.wav|091_informal.wav|befˈost|bepˈost|befˈost.|bepˈost.
092|2|מועד הפגישה נקבע כבר בשבוע שעבר.|092_formal.wav|092_informal.wav|nikbˈa|nikvˈa|nikbˈa.|nikvˈa.
093|4|אנחנו מקווים להצליח יותר בעתיד הקרוב.|093_formal.wav|093_informal.wav|beʔatˈid|baʔatˈid|beʔatˈid.|baʔatˈid.
094|3|הוא נהג בזהירות בכבישי הארץ הרטובים.|094_formal.wav|094_informal.wav|biχviʃˈej|bekviʃˈej|biχviʃˈej.|bekviʃˈej.
095|3|הוא הציג את הטענה שלו בצורה ברורה מאוד.|095_formal.wav|095_informal.wav|hataʔanˈa|hateʔanˈa|hataʔanˈa.|hateʔanˈa.
096|2|הוא נהנה מיתרון ברור על פני המתחרים שלו.|096_formal.wav|096_informal.wav|mijitʁˈon|mejitaʁˈon|mijitʁˈon.|mejitaʁˈon.
097|2|כולם יקשיבו ויחמיאו לך על העבודה.|097_formal.wav|097_informal.wav|vajaxmˈiʔu|vejaxmˈiʔu|vajaχmˈiʔu.|vejaχmˈiʔu.
098|5|הוא הדגיש את המילים החשובות בכחול.|098_formal.wav|098_informal.wav|beχaχˈol|bekaχˈol|beχaχˈol.|bekaχˈol.
099|3|זה מעניק לו יתרון משמעותי במרוץ.|099_formal.wav|099_informal.wav|jitrˈon|jitarˈon|jitʁˈon.|jitaʁˈon.
100|2|הטיסה ארכה כיממה שלמה.|100_formal.wav|100_informal.wav|kimamˈa|kejemamˈa|kimamˈa.|kejemamˈa.
101|1|הגיעו כעשרה אנשים לאירוע.|101_formal.wav|101_informal.wav|kaʔasaʁˈa|keʔasaʁˈa|kaʔasaʁˈa.|keʔasaʁˈa.
102|4|הוא קיבל את ההחלטה בזמן אמת.|102_formal.wav|102_informal.wav|bizmˈan|bezmˈan|bizmˈan.|bezmˈan.
103|4|הוא התרכז בנושא זה וביתר שאת.|103_formal.wav|103_informal.wav|uvjˈeteʁ|vebejˈeteʁ|ʔuvjˈeteʁ.|vebejˈeteʁ.
104|0|מטוסי הקרב המריאו לבסיס החדש.|104_formal.wav|104_informal.wav|metosˈej|matosˈej|metosˈej.|matosˈej.
105|3|הם ישבו שעות והחליפו חוויות מהטיול.|105_formal.wav|105_informal.wav|veheχelˈifu|veheχlˈifu|veheχelˈifu.|veheχlˈifu.
106|2|הם רצו לשדה הקרב ובחזרה.|106_formal.wav|106_informal.wav|lisdˈe|lesdˈe|lisdˈe.|lesdˈe.
107|3|הוא שירת נאמנה ובגדוד שלו זוכרים אותו.|107_formal.wav|107_informal.wav|uvagdˈud|vebagdˈud|ʔuvaɡdˈud.|vebaɡdˈud.
108|2|הספר מכיל שמונה מאות עמודים.|108_formal.wav|108_informal.wav|ʃmonˈe|ʃmonˈa|ʃmonˈe.|ʃmonˈa.
109|2|הספר צפוי להימכר באלפי עותקים.|109_formal.wav|109_informal.wav|lehimaχˈeʁ|lehimakˈeʁ|lehimaχˈeʁ.|lehimakˈeʁ.
110|2|היא קנתה תותים מתוקים בשוק.|110_formal.wav|110_informal.wav|tutˈim|tˈutim|tutˈim.|tˈutim.
111|5|הוא ניקה את הרצפה עם מגב.|111_formal.wav|111_informal.wav|maɡˈev|maɡˈav|maɡˈev.|maɡˈav.
112|3|כל המכשירים נמצאו תקינים לחלוטין.|112_formal.wav|112_informal.wav|takinˈim|tkinˈim|takinˈim.|tkinˈim.
113|2|הוא הקדיש תשומת לב לפרטים הקטנים.|113_formal.wav|113_informal.wav|tsˈumet|tsumˈat|tsˈumet.|tsumˈat.
114|4|היא שינתה את התוכניות וביטלה את הנסיעה.|114_formal.wav|114_informal.wav|uvitlˈa|vebitlˈa|ʔuvitlˈa.|vebitlˈa.
115|4|האירוע נערך באופן רשמי ופומבי.|115_formal.wav|115_informal.wav|ufumbˈi|vepumbˈi|ʔufumbˈi.|vepumbˈi.
116|1|הטעם העדין של המרק מצא חן בעיניו.|116_formal.wav|116_informal.wav|heʔadˈin|haʔadˈin|heʔadˈin.|haʔadˈin.
117|2|הם ניסו לחצות את הכביש בבטחה.|117_formal.wav|117_informal.wav|laχatsˈot|laχtsˈot|laχatsˈot.|laχtsˈot.
118|1|הוא החליט לצאת לטיול ארוך בארץ.|118_formal.wav|118_informal.wav|heχelˈit|heχlˈit|heχelˈit.|heχlˈit.
119|4|הם פגשו את האנשים שהספיקו להגיע בזמן.|119_formal.wav|119_informal.wav|ʃehispˈiku|ʃehespˈiku|ʃehispˈiku.|ʃehespˈiku.
120|4|הם שינו את התוכניות וביטלו את האירוע.|120_formal.wav|120_informal.wav|uvitlˈu|vebitlˈu|ʔuvitlˈu.|vebitlˈu.
121|0|הכרתי את החבר הכי טוב שלי בצבא.|121_formal.wav|121_informal.wav|hikˈarti|hekˈarti|hikˈaʁti.|hekˈaʁti.
122|3|הוא המשיך לספר ובעודי מקשיב הבנתי הכל.|122_formal.wav|122_informal.wav|uvʔodˈi|vebeʔodˈi|ʔuvʔodˈi.|vebeʔodˈi.
123|3|הוא הקשיב לי וכשניערתי את השמיכה הוא עזר לי.|123_formal.wav|123_informal.wav|uχʃeniʔˈaʁti|vekʃeniʔˈaʁti|ʔuχʃeniʔˈaʁti.|vekʃeniʔˈaʁti.
124|4|הוא צעד בראש הטור בגאווה רבה.|124_formal.wav|124_informal.wav|beɡaʔavˈa|beɡeʔavˈa|beɡaʔavˈa.|beɡeʔavˈa.
125|3|הוא נכנס לחדר והתחלתי לדבר איתו.|125_formal.wav|125_informal.wav|vehitχˈalti|vehetχˈalti|vehitχˈalti.|vehetχˈalti.
126|2|הוא לקח סיבוב חד ימינה ברחוב.|126_formal.wav|126_informal.wav|sibˈuv|sivˈuv|sibˈuv.|sivˈuv.
127|2|הלכנו בבוקר לבית הכנסת להתפלל.|127_formal.wav|127_informal.wav|levˈet|lebˈet|levˈet.|lebˈet.
128|0|עשרות מפגינים הגיעו לכיכר העיר.|128_formal.wav|128_informal.wav|ʔasaʁˈot|ʔasʁˈot|ʔasaʁˈot.|ʔasʁˈot.
129|4|האיכר לקח את הפרות לחליבה של הבוקר.|129_formal.wav|129_informal.wav|laχalivˈa|leχalivˈa|laχalivˈa.|leχalivˈa.
130|0|מארגני הכנס הודו לכל המשתתפים שהגיעו.|130_formal.wav|130_informal.wav|meʔaʁɡnˈej|meʔaʁɡenˈej|meʔaʁɡnˈej.|meʔaʁɡenˈej.
131|3|הם תכננו לנסוע לעזה כבר בשבוע שעבר.|131_formal.wav|131_informal.wav|leʔazˈa|leʔˈaza|leʔazˈa.|leʔˈaza.
132|2|הילדים שיחקו בכדורי טניס ישנים בחצר.|132_formal.wav|132_informal.wav|beχaduʁˈej|bekaduʁˈej|beχaduʁˈej.|bekaduʁˈej.
133|4|הוא הצמיד את המכשיר לקרקע כדי למדוד.|133_formal.wav|133_informal.wav|lakaʁkˈa|lakˈaʁka|lakaʁkˈa.|lakˈaʁka.
134|2|הוא דואג לביטחון המדינה בכל לבו.|134_formal.wav|134_informal.wav|levitχˈon|lebitxˈon|levitχˈon.|lebitχˈon.
135|4|הוא סימן את השמות בכרטיסייה הקטנה.|135_formal.wav|135_informal.wav|beχaʁtisijˈa|bekaʁtisijˈa|beχaʁtisijˈa.|bekaʁtisijˈa.
136|3|ההחלטה המפתיעה יצרה כאוס מוחלט בחדר.|136_formal.wav|136_informal.wav|kˈaos|kˈeos|kˈaos.|kˈeos.
137|2|הוא החליט להחליף את המכונית הישנה שלו.|137_formal.wav|137_informal.wav|lehaχalˈif|lehaχlˈif|lehaχalˈif.|lehaχlˈif.
138|4|הוא תמיד מביט אל העתיד בתקווה רבה.|138_formal.wav|138_informal.wav|heʔatˈid|haʔatˈid|heʔatˈid.|haʔatˈid.
139|4|הם קיבלו אותנו בחיוך ובאהבת חינם.|139_formal.wav|139_informal.wav|uveʔahavˈat|vebeʔahavˈat|ʔuveʔahavˈat.|vebeʔahavˈat.
140|4|הוא קנה ספר למיכל ולנועה הוא הביא פרח.|140_formal.wav|140_informal.wav|ulenˈoa|velenˈoa|ʔulenˈoa.|velenˈoa.
141|3|החיילים נלחמו בחזית ובעורף ניסו לשמור על שגרה.|141_formal.wav|141_informal.wav|uvaʔˈoʁef|vebaʔˈoʁef|ʔuvaʔˈoʁef.|vebaʔˈoʁef.
142|4|הרופאים עבדו מסביב לשעון ביממה האחרונה.|142_formal.wav|142_informal.wav|bajmamˈa|bajemamˈa|bajmamˈa.|bajemamˈa.
143|5|הרופאים גילו את הבעיה רק בסריקות המאוחרות.|143_formal.wav|143_informal.wav|bisʁikˈot|besʁikˈot|bisʁikˈot.|besʁikˈot.
144|0|ניסיון העבר מלמד אותנו שצריך להיזהר.|144_formal.wav|144_informal.wav|nisjˈon|nisajˈon|nisjˈon.|nisajˈon.
145|0|הכנסנו את כל הארגזים לתוך המחסן החדש.|145_formal.wav|145_informal.wav|hiχnˈasnu|heχnˈasnu|hiχnˈasnu.|heχnˈasnu.
146|2|הוא דיבר בכנס על המחקר החדש שלו.|146_formal.wav|146_informal.wav|beχˈenes|bekˈenes|beχˈenes.|bekˈenes.
147|0|לטענת הרופאים, המצב שלו צפוי להשתפר בקרוב.|147_formal.wav|147_informal.wav|letaʔanˈat|leteʔanˈat|letaʔanˈat.|leteʔanˈat.
148|3|לפעמים הוא מצליח ובמקרים מסוימים הוא נכשל.|148_formal.wav|148_informal.wav|uvemikʁˈim|vebemikʁˈim|ʔuvemikʁˈim.|vebemikʁˈim.
149|5|הם בדקו מה תהיה התוצאה בפועל של המהלך.|149_formal.wav|149_informal.wav|befˈoal|bafˈoal|befˈoal.|bafˈoal.
150|3|הגענו לתל אביב ומשם נסענו ברכבת.|150_formal.wav|150_informal.wav|umiʃˈam|vemiʃˈam|ʔumiʃˈam.|vemiʃˈam.
